state,sellingprice_size,sellingprice_mean,sellingprice_sum,sellingprice_median
Alabama,25,9440.0,236000.0,7700.0
Arizona,7485,12163.022044088177,91040220.0,10900.0
California,62446,14637.958299971175,914081944.0,12400.0
Colorado,6145,15645.716029292107,96142925.0,14200.0
Florida,68915,14186.450758180366,977659254.0,12700.0
Georgia,29520,12770.727506775067,376991876.0,11250.5
Hawaii,1128,12320.61170212766,13897650.0,11775.0
Illinois,20668,15452.253241726341,319367170.0,14400.0
Indiana,3844,10985.327783558792,42227600.0,9900.0
Louisiana,1649,11224.46513038205,18509143.0,10000.0
Maryland,9411,7694.42939113803,72412275.0,6300.0
Massachusetts,6093,6801.042179550303,41438750.0,5500.0
Michigan,13996,15199.392469276936,212730697.0,14100.0
Minnesota,7659,13884.8946337642,106344408.0,12600.0
Mississippi,1574,10940.301778907242,17220035.0,10000.0
Missouri,14192,14549.311020293122,206483822.0,13300.0
Nebraska,3679,13219.597716770862,48634900.0,11900.0
Nevada,10468,16306.13899503248,170692663.0,14300.0
New Jersey,21545,13284.392202367138,286212230.0,12100.0
New Mexico,142,7102.816901408451,1008600.0,4250.0
New York,4689,12624.81040733632,59197736.0,11200.0
North Carolina,17811,8709.290606928304,155121175.0,7500.0
Ohio,19102,13918.14595330332,265864424.0,12500.0
Oklahoma,52,7438.461538461538,386800.0,7050.0
Oregon,1026,11957.67543859649,12268575.0,11100.0
Pennsylvania,23147,13976.640774182399,323517304.0,12800.0
Puerto Rico,2414,9706.006628003313,23430300.0,9000.0
South Carolina,3576,10699.15408277405,38260175.0,9600.0
Tennessee,13905,16715.761308881698,232432661.0,15500.0
Texas,37615,13384.47712348797,503457107.0,11800.0
Utah,1694,12535.17650531287,21234589.0,10800.0
Virginia,9203,8376.730196674996,77091048.0,6800.0
Washington,6842,14304.31657410114,97870134.0,13500.0
Wisconsin,8526,13794.983696927047,117616031.0,12300.0
